seed,m,policy,degree,iter,step_mass,train_loss,test_loss,gen_gap
0,500,cap,5,0,0.000000,0.693147,0.693147,-0.000000
0,500,cap,5,10,0.251050,0.582685,0.693174,0.110488
0,500,cap,5,20,0.379763,0.524225,0.688785,0.164560
0,500,cap,5,30,0.479257,0.483862,0.691502,0.207640
0,500,cap,5,40,0.563382,0.462432,0.695131,0.232699
0,500,cap,5,50,0.637619,0.442947,0.697313,0.254366
0,500,cap,5,60,0.704802,0.432233,0.701032,0.268799
0,500,cap,5,70,0.766627,0.420158,0.703888,0.283730
0,500,cap,5,80,0.824202,0.411521,0.707403,0.295881
0,500,cap,5,90,0.878298,0.403980,0.711701,0.307721
0,500,cap,5,100,0.929480,0.398019,0.714155,0.316135
0,500,cap,5,110,0.978173,0.392732,0.715400,0.322668
0,500,cap,5,120,1.024708,0.387411,0.716203,0.328792
0,500,cap,5,130,1.069349,0.382970,0.717789,0.334819
0,500,cap,5,140,1.112310,0.378970,0.720365,0.341395
0,500,cap,5,150,1.153767,0.375307,0.723089,0.347782
0,500,cap,5,160,1.193869,0.371628,0.725194,0.353565
0,500,cap,5,170,1.232739,0.367902,0.726163,0.358261
0,500,cap,5,180,1.270486,0.364161,0.727881,0.363720
0,500,cap,5,190,1.307200,0.360632,0.730641,0.370009
0,500,cap,5,200,1.342963,0.358005,0.732684,0.374679
0,500,cap,5,210,1.377844,0.355381,0.734060,0.378679
0,500,cap,5,220,1.411907,0.352656,0.735263,0.382607
0,500,cap,5,230,1.445205,0.349838,0.736443,0.386605
0,500,cap,5,240,1.477789,0.347490,0.737718,0.390228
0,500,cap,5,250,1.509702,0.345269,0.738584,0.393315
0,500,cap,5,260,1.540984,0.342940,0.740397,0.397458
0,500,cap,5,270,1.571671,0.340628,0.741763,0.401135
0,500,cap,5,280,1.601796,0.338402,0.742981,0.404579
0,500,cap,5,290,1.631389,0.336169,0.744643,0.408474
0,500,cap,5,300,1.660476,0.334367,0.745992,0.411625
0,500,cap,5,310,1.689083,0.332528,0.747018,0.414490
0,500,cap,5,320,1.717234,0.330494,0.747989,0.417494
0,500,cap,5,330,1.744948,0.328755,0.749952,0.421197
0,500,cap,5,340,1.772247,0.327196,0.751148,0.423952
0,500,cap,5,350,1.799147,0.325578,0.752292,0.426714
0,500,cap,5,360,1.825666,0.323948,0.753119,0.429170
0,500,cap,5,370,1.851820,0.322246,0.754648,0.432402
0,500,cap,5,380,1.877623,0.320770,0.755901,0.435131
0,500,cap,5,390,1.903090,0.319324,0.756675,0.437351
0,500,cap,5,400,1.928232,0.317798,0.757473,0.439675
0,500,cap,5,410,1.953062,0.316606,0.758240,0.441634
0,500,cap,5,420,1.977592,0.315404,0.758653,0.443249
0,500,cap,5,430,2.001832,0.314024,0.759670,0.445646
0,500,cap,5,440,2.025792,0.312833,0.760650,0.447817
0,500,cap,5,450,2.049481,0.311585,0.761831,0.450246
0,500,cap,5,460,2.072909,0.310264,0.763009,0.452745
0,500,cap,5,470,2.096084,0.309042,0.764124,0.455082
0,500,cap,5,480,2.119013,0.307888,0.765011,0.457123
0,500,cap,5,490,2.141706,0.306748,0.765555,0.458808
0,500,cap,5,500,2.164168,0.305652,0.766237,0.460585
0,500,cap,5,510,2.186407,0.304595,0.767171,0.462576
0,500,cap,5,520,2.208429,0.303523,0.768224,0.464701
0,500,cap,5,530,2.230241,0.302508,0.769071,0.466563
0,500,cap,5,540,2.251848,0.301440,0.770120,0.468680
0,500,cap,5,550,2.273256,0.300471,0.771119,0.470648
0,500,cap,5,560,2.294470,0.299401,0.771459,0.472059
0,500,cap,5,570,2.315497,0.298297,0.772114,0.473816
0,500,cap,5,580,2.336339,0.297392,0.773235,0.475843
0,500,cap,5,590,2.357003,0.296456,0.774482,0.478027
0,500,cap,5,600,2.377492,0.295546,0.776288,0.480743
0,500,cap,5,610,2.397812,0.294663,0.776955,0.482292
0,500,cap,5,620,2.417966,0.293807,0.778028,0.484221
0,500,cap,5,630,2.437958,0.292921,0.778918,0.485997
0,500,cap,5,640,2.457792,0.292070,0.779364,0.487294
0,500,cap,5,650,2.477472,0.291223,0.780200,0.488977
0,500,cap,5,660,2.497002,0.290379,0.781094,0.490715
1,500,cap,5,0,0.000000,0.693147,0.693147,-0.000000
1,500,cap,5,10,0.251050,0.548972,0.703529,0.154557
1,500,cap,5,20,0.379763,0.498467,0.695288,0.196821
